,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
1,Harry Kane,eng ENG,"FW,MF",Bayern Munich,32-226,1993,24,22,"1,942",21.6,30,5,35,20,10,10,1,0,1.39,0.23,1.62,0.93,1.16,Matches
2,Michael Olise,fr FRA,MF,Bayern Munich,24-089,2001,23,19,"1,790",19.9,10,16,26,10,0,0,5,0,0.5,0.8,1.31,0.5,1.31,Matches
3,Luis Díaz,co COL,MF,Bayern Munich,29-057,1997,24,22,"1,986",22.1,14,11,25,14,0,0,5,0,0.63,0.5,1.13,0.63,1.13,Matches
4,Deniz Undav,de GER,"FW,MF",Stuttgart,29-235,1996,21,17,"1,553",17.3,15,5,20,15,0,0,4,0,0.87,0.29,1.16,0.87,1.16,Matches
5,Christoph Baumgartner,at AUT,MF,RB Leipzig,26-222,1999,24,23,"1,975",21.9,10,6,16,10,0,1,6,0,0.46,0.27,0.73,0.46,0.73,Matches
6,Yan Diomandé,ci CIV,"FW,MF",RB Leipzig,19-117,2006,24,19,"1,716",19.1,10,5,15,10,0,0,2,0,0.52,0.26,0.79,0.52,0.79,Matches
7,Andrej Kramari?,hr CRO,"MF,FW",Hoffenheim,34-265,1991,25,19,"1,575",17.5,10,5,15,7,3,3,1,0,0.57,0.29,0.86,0.4,0.69,Matches
8,Haris Tabakovic,ba BIH,FW,Gladbach,31-264,1994,24,21,"1,771",19.7,11,3,14,11,0,2,0,0,0.56,0.15,0.71,0.56,0.71,Matches
9,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,23-215,2002,24,22,"1,686",18.7,8,5,13,8,0,0,1,0,0.43,0.27,0.69,0.43,0.69,Matches
10,Serhou Guirassy,gn GUI,FW,Dortmund,29-364,1996,24,21,"1,790",19.9,12,1,13,11,1,3,2,0,0.6,0.05,0.65,0.55,0.6,Matches
11,Jamie Leweling,de GER,MF,Stuttgart,25-013,2001,24,19,"1,762",19.6,7,6,13,7,0,0,4,0,0.36,0.31,0.66,0.36,0.66,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,29-135,1996,20,19,"1,646",18.3,10,2,12,3,7,7,6,0,0.55,0.11,0.66,0.16,0.27,Matches
13,Maximilian Beier,de GER,"MF,FW",Dortmund,23-145,2002,23,16,"1,352",15,8,4,12,8,0,0,2,0,0.53,0.27,0.8,0.53,0.8,Matches
14,Serge Gnabry,de GER,MF,Bayern Munich,30-240,1995,19,14,"1,069",11.9,6,6,12,6,0,0,1,0,0.51,0.51,1.01,0.51,1.01,Matches
15,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,25-306,2000,22,17,"1,444",16,8,3,11,7,1,1,2,0,0.5,0.19,0.69,0.44,0.62,Matches
16,Said El Mala,de GER,"FW,MF",Köln,19-197,2006,25,11,"1,241",13.8,8,3,11,8,0,0,1,0,0.58,0.22,0.8,0.58,0.8,Matches
17,Rômulo,br BRA,FW,RB Leipzig,24-031,2002,21,19,"1,584",17.6,7,4,11,7,0,1,2,0,0.4,0.23,0.62,0.4,0.62,Matches
18,Julian Ryerson,no NOR,MF,Dortmund,28-114,1997,22,17,"1,482",16.5,0,11,11,0,0,0,5,0,0,0.67,0.67,0,0.67,Matches
19,Fares Chaïbi,dz ALG,MF,Eintracht Frankfurt,23-103,2002,19,16,"1,291",14.3,2,8,10,2,0,0,1,0,0.14,0.56,0.7,0.14,0.7,Matches
20,Ermedin Demirovi?,ba BIH,FW,Stuttgart,27-351,1998,16,13,"1,087",12.1,8,2,10,7,1,1,4,0,0.66,0.17,0.83,0.58,0.75,Matches
21,Álex Grimaldo,es ESP,MF,Leverkusen,30-172,1995,21,21,"1,801",20,6,4,10,4,2,2,5,0,0.3,0.2,0.5,0.2,0.4,Matches
22,Julian Brandt,de GER,"MF,FW",Dortmund,29-313,1996,20,13,"1,211",13.5,6,3,9,6,0,0,0,0,0.45,0.22,0.67,0.45,0.67,Matches
23,Wouter Burger,nl NED,MF,Hoffenheim,25-023,2001,22,22,"1,742",19.4,4,5,9,4,0,0,4,1,0.21,0.26,0.46,0.21,0.46,Matches
24,Jonathan Burkardt,de GER,FW,Eintracht Frankfurt,25-243,2000,13,10,877,9.7,9,0,9,7,2,2,1,0,0.92,0,0.92,0.72,0.72,Matches
25,Ritsu Doan,jp JPN,MF,Eintracht Frankfurt,27-268,1998,25,23,"1,917",21.3,4,5,9,4,0,0,3,0,0.19,0.23,0.42,0.19,0.42,Matches
26,Andrej Ilic,rs SRB,FW,Union Berlin,25-342,2000,23,17,"1,586",17.6,1,8,9,1,0,1,5,0,0.06,0.45,0.51,0.06,0.51,Matches
27,Tim Lemperle,de GER,FW,Hoffenheim,24-034,2002,20,16,"1,311",14.6,7,2,9,6,1,1,1,0,0.48,0.14,0.62,0.41,0.55,Matches
28,Ernest Poku,nl NED,MF,Leverkusen,22-042,2004,23,14,"1,298",14.4,5,4,9,5,0,0,0,0,0.35,0.28,0.62,0.35,0.62,Matches
29,Patrik Schick,cz CZE,FW,Leverkusen,30-046,1996,19,16,"1,307",14.5,7,2,9,5,2,2,1,0,0.48,0.14,0.62,0.34,0.48,Matches
30,Romano Schmid,at AUT,"MF,FW",Werder Bremen,26-043,2000,25,25,"2,194",24.4,2,7,9,0,2,3,4,0,0.08,0.29,0.37,0,0.29,Matches
31,Jens Stage,dk DEN,MF,Werder Bremen,29-123,1996,23,23,"1,972",21.9,7,2,9,7,0,0,4,0,0.32,0.09,0.41,0.32,0.41,Matches
32,Can Uzun,tr TUR,MF,Eintracht Frankfurt,20-120,2005,14,11,799,8.9,6,3,9,5,1,1,2,0,0.68,0.34,1.01,0.56,0.9,Matches
33,Ragnar Ache,de GER,FW,Köln,27-226,1998,24,13,"1,363",15.1,5,3,8,5,0,0,2,0,0.33,0.2,0.53,0.33,0.53,Matches
34,Karim Adeyemi,de GER,"MF,FW",Dortmund,24-052,2002,23,13,"1,009",11.2,5,3,8,5,0,0,3,0,0.45,0.27,0.71,0.45,0.71,Matches
35,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,27-278,1998,21,18,"1,525",16.9,4,4,8,3,1,1,3,0,0.24,0.24,0.47,0.18,0.41,Matches
36,Chris Führich,de GER,MF,Stuttgart,28-061,1998,24,12,"1,079",12,4,4,8,4,0,0,1,0,0.33,0.33,0.67,0.33,0.67,Matches
37,Vincenzo Grifo,it ITA,MF,Freiburg,32-338,1993,25,16,"1,265",14.1,7,1,8,3,4,4,0,0,0.5,0.07,0.57,0.21,0.28,Matches
38,Jakub Kami?ski,pl POL,"MF,FW",Köln,23-279,2002,25,25,"2,228",24.8,6,2,8,6,0,0,1,0,0.24,0.08,0.32,0.24,0.32,Matches
39,Joshua Kimmich,de GER,MF,Bayern Munich,31-031,1995,21,17,"1,637",18.2,2,6,8,2,0,0,4,0,0.11,0.33,0.44,0.11,0.44,Matches
40,Christian Kofane,cm CMR,"FW,MF",Leverkusen,19-228,2006,22,9,968,10.8,5,3,8,5,0,0,3,0,0.46,0.28,0.74,0.46,0.74,Matches
41,Grischa Prömel,de GER,MF,Hoffenheim,31-061,1995,25,13,"1,372",15.2,6,2,8,6,0,0,3,0,0.39,0.13,0.52,0.39,0.52,Matches
42,David Raum,de GER,DF,RB Leipzig,27-323,1998,24,24,"2,122",23.6,3,5,8,2,1,1,6,0,0.13,0.21,0.34,0.08,0.3,Matches
43,Bazoumana Touré,ci CIV,"MF,FW",Hoffenheim,20-009,2006,21,20,"1,606",17.8,2,6,8,2,0,0,2,0,0.11,0.34,0.45,0.11,0.45,Matches
44,Fabio Vieira,pt POR,"MF,FW",Hamburger SV,25-285,2000,20,16,"1,436",16,4,4,8,3,1,1,4,2,0.25,0.25,0.5,0.19,0.44,Matches
45,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,22-268,2003,24,20,"1,891",21,3,4,7,3,0,0,3,0,0.14,0.19,0.33,0.14,0.33,Matches
46,Vladimír Coufal,cz CZE,"DF,MF",Hoffenheim,33-201,1992,25,25,"2,234",24.8,1,6,7,1,0,0,3,0,0.04,0.24,0.28,0.04,0.28,Matches
47,Christian Eriksen,dk DEN,MF,Wolfsburg,34-025,1992,22,18,"1,660",18.4,2,5,7,0,2,2,3,0,0.11,0.27,0.38,0,0.27,Matches
48,Lennart Karl,de GER,MF,Bayern Munich,18-017,2008,21,12,996,11.1,4,3,7,4,0,0,0,0,0.36,0.27,0.63,0.36,0.63,Matches
49,Konrad Laimer,at AUT,DF,Bayern Munich,28-288,1997,20,16,"1,426",15.8,3,4,7,3,0,0,5,0,0.19,0.25,0.44,0.19,0.44,Matches
50,Igor Matanovic,hr CRO,FW,Freiburg,22-345,2003,22,7,952,10.6,6,1,7,5,1,2,0,0,0.57,0.09,0.66,0.47,0.57,Matches
51,Maximilian Mittelstädt,de GER,"DF,MF",Stuttgart,28-358,1997,23,18,"1,595",17.7,4,3,7,1,3,3,3,0,0.23,0.17,0.39,0.06,0.23,Matches
52,Danel Sinani,lu LUX,"MF,FW",St Pauli,28-340,1997,22,16,"1,485",16.5,4,3,7,1,3,3,3,0,0.24,0.18,0.42,0.06,0.24,Matches
53,Ilyas Ansah,de GER,"MF,FW",Union Berlin,21-123,2004,25,18,"1,517",16.9,5,1,6,5,0,0,1,0,0.3,0.06,0.36,0.3,0.36,Matches
54,Marius Bülter,de GER,"FW,MF",Köln,32-347,1993,23,14,"1,195",13.3,3,3,6,3,0,0,3,0,0.23,0.23,0.45,0.23,0.45,Matches
55,Aleix García,es ESP,MF,Leverkusen,28-256,1997,25,23,"2,028",22.5,1,5,6,1,0,0,4,0,0.04,0.22,0.27,0.04,0.27,Matches
56,Bilal El Khannouss,ma MAR,"MF,FW",Stuttgart,21-305,2004,18,15,"1,254",13.9,3,3,6,3,0,0,5,0,0.22,0.22,0.43,0.22,0.43,Matches
57,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eintracht Frankfurt,20-308,2005,22,12,"1,105",12.3,3,3,6,3,0,0,1,0,0.24,0.24,0.49,0.24,0.49,Matches
58,Assan Ouedraogo,de GER,"MF,FW",RB Leipzig,19-306,2006,12,9,609,6.8,3,3,6,3,0,0,0,0,0.44,0.44,0.89,0.44,0.89,Matches
59,Fabian Rieder,ch SUI,MF,Augsburg,24-023,2002,23,19,"1,533",17,3,3,6,2,1,1,2,0,0.18,0.18,0.35,0.12,0.29,Matches
60,Stefan Schimmer,de GER,FW,Heidenheim,31-317,1994,20,2,683,7.6,5,1,6,5,0,0,1,0,0.66,0.13,0.79,0.66,0.79,Matches
61,Fábio Silva,pt POR,"FW,MF",Dortmund,23-235,2002,19,5,575,6.4,1,5,6,1,0,0,3,0,0.16,0.78,0.94,0.16,0.94,Matches
62,Angelo Stiller,de GER,MF,Stuttgart,24-341,2001,25,21,"1,962",21.8,1,5,6,1,0,1,1,0,0.05,0.23,0.28,0.05,0.28,Matches
63,Yuito Suzuki,jp JPN,MF,Freiburg,24-137,2001,20,15,"1,320",14.7,4,2,6,4,0,0,2,0,0.27,0.14,0.41,0.27,0.41,Matches
64,Edmond Tapsoba,bf BFA,DF,Leverkusen,27-037,1999,21,21,"1,855",20.6,4,2,6,4,0,0,4,0,0.19,0.1,0.29,0.19,0.29,Matches
65,Luca Waldschmidt,de GER,"FW,MF",Köln,29-296,1996,17,6,514,5.7,3,3,6,2,1,1,0,0,0.53,0.53,1.05,0.35,0.88,Matches
66,Patrick Wimmer,at AUT,MF,Wolfsburg,24-285,2001,17,15,"1,157",12.9,3,3,6,3,0,0,4,0,0.23,0.23,0.47,0.23,0.47,Matches
67,Maximilian Arnold,de GER,MF,Wolfsburg,31-288,1994,21,20,"1,814",20.2,1,4,5,1,0,0,5,0,0.05,0.2,0.25,0.05,0.25,Matches
68,Oliver Burke,sct SCO,"MF,FW",Union Berlin,28-338,1997,22,14,"1,082",12,4,1,5,4,0,0,2,0,0.33,0.08,0.42,0.33,0.42,Matches
69,Danny da Costa,de GER,"DF,MF",Mainz 05,32-241,1993,25,22,"2,022",22.5,2,3,5,2,0,0,3,0,0.09,0.13,0.22,0.09,0.22,Matches
70,Dimitris Giannoulis,gr GRE,MF,Augsburg,30-145,1995,19,17,"1,298",14.4,2,3,5,2,0,0,6,0,0.14,0.21,0.35,0.14,0.35,Matches
71,Raphaël Guerreiro,pt POR,MF,Bayern Munich,32-079,1993,12,4,457,5.1,3,2,5,3,0,0,0,0,0.59,0.39,0.98,0.59,0.98,Matches
72,Conrad Harder,dk DEN,FW,RB Leipzig,20-338,2005,22,7,751,8.3,2,3,5,2,0,0,3,0,0.24,0.36,0.6,0.24,0.6,Matches
73,Franck Honorat,fr FRA,"MF,FW",Gladbach,29-212,1996,19,18,"1,422",15.8,0,5,5,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches
74,Lee Jae-sung,kr KOR,"MF,FW",Mainz 05,33-213,1992,23,23,"1,900",21.1,3,2,5,3,0,0,2,0,0.14,0.09,0.24,0.14,0.24,Matches
75,Rani Khedira,de GER,MF,Union Berlin,32-043,1994,24,24,"2,117",23.5,5,0,5,5,0,0,6,0,0.21,0,0.21,0.21,0.21,Matches
76,Ansgar Knauff,de GER,"MF,FW",Eintracht Frankfurt,24-060,2002,20,10,"1,005",11.2,4,1,5,4,0,0,2,0,0.36,0.09,0.45,0.36,0.45,Matches
77,Mert Kömür,de GER,"MF,FW",Augsburg,20-237,2005,22,15,"1,305",14.5,2,3,5,2,0,0,1,0,0.14,0.21,0.34,0.14,0.34,Matches
78,Ransford Königsdörffer,gh GHA,"FW,MF",Hamburger SV,24-179,2001,25,21,"1,685",18.7,4,1,5,4,0,1,1,0,0.21,0.05,0.27,0.21,0.27,Matches
79,Sael Kumbedi,fr FRA,DF,Wolfsburg,20-350,2005,17,14,"1,253",13.9,0,5,5,0,0,0,2,0,0,0.36,0.36,0,0.36,Matches
80,Lovro Majer,hr CRO,MF,Wolfsburg,28-053,1998,23,16,"1,264",14,2,3,5,2,0,0,4,0,0.14,0.21,0.36,0.14,0.36,Matches
81,Johan Manzambi,ch SUI,MF,Freiburg,20-148,2005,19,18,"1,447",16.1,3,2,5,3,0,0,4,2,0.19,0.12,0.31,0.19,0.31,Matches
82,Ibrahim Maza,dz ALG,MF,Leverkusen,20-107,2005,19,12,"1,121",12.5,2,3,5,2,0,0,1,0,0.16,0.24,0.4,0.16,0.4,Matches
83,Samuel Mbangula,be BEL,"MF,FW",Werder Bremen,22-054,2004,20,11,987,11,3,2,5,3,0,0,0,0,0.27,0.18,0.46,0.27,0.46,Matches
84,Felix Nmecha,de GER,MF,Dortmund,25-152,2000,25,22,"1,895",21.1,2,3,5,2,0,0,0,0,0.09,0.14,0.24,0.09,0.24,Matches
85,Denan Pej?inovi?,de GER,FW,Wolfsburg,21-024,2005,22,10,922,10.2,5,0,5,5,0,0,1,0,0.49,0,0.49,0.49,0.49,Matches
86,Rayan Philippe,fr FRA,"FW,MF",Hamburger SV,25-139,2000,22,11,"1,090",12.1,5,0,5,5,0,1,2,0,0.41,0,0.41,0.41,0.41,Matches
87,Alexander Prass,at AUT,MF,Hoffenheim,24-289,2001,23,9,939,10.4,3,2,5,3,0,0,2,0,0.29,0.19,0.48,0.29,0.48,Matches
88,Derry Scherhant,de GER,MF,Freiburg,23-121,2002,22,6,765,8.5,4,1,5,4,0,0,2,0,0.47,0.12,0.59,0.47,0.59,Matches
89,Nico Schlotterbeck,de GER,DF,Dortmund,26-100,1999,19,19,"1,710",19,4,1,5,4,0,0,6,0,0.21,0.05,0.26,0.21,0.26,Matches
90,Josip Stanii?,hr CRO,DF,Bayern Munich,25-343,2000,17,13,"1,256",14,2,3,5,2,0,0,1,0,0.14,0.21,0.36,0.14,0.36,Matches
91,Martin Terrier,fr FRA,"MF,FW",Leverkusen,29-007,1997,16,6,622,6.9,4,1,5,4,0,0,1,0,0.58,0.14,0.72,0.58,0.72,Matches
92,Malik Tillman,us USA,MF,Leverkusen,23-287,2002,20,15,"1,366",15.2,4,1,5,4,0,0,1,0,0.26,0.07,0.33,0.26,0.33,Matches
93,Tiago Tomás,pt POR,MF,Stuttgart,23-268,2002,18,7,705,7.8,3,2,5,3,0,0,3,0,0.38,0.26,0.64,0.38,0.64,Matches
94,Luka Vukovi?,hr CRO,DF,Hamburger SV,19-015,2007,22,22,"1,980",22,5,0,5,4,1,1,5,0,0.23,0,0.23,0.18,0.18,Matches
95,Arthur,br BRA,MF,Leverkusen,22-359,2003,16,13,"1,048",11.6,1,3,4,1,0,0,2,0,0.09,0.26,0.34,0.09,0.34,Matches
96,Ridle Baku,de GER,DF,RB Leipzig,27-337,1998,23,20,"1,800",20,1,3,4,1,0,0,3,0,0.05,0.15,0.2,0.05,0.2,Matches
97,Adam Daghim,dk DEN,MF,Wolfsburg,20-164,2005,19,9,"1,033",11.5,2,2,4,2,0,0,1,0,0.17,0.17,0.35,0.17,0.35,Matches
98,Mahmoud Dahoud,de GER,"MF,FW",Eintracht Frankfurt,30-069,1996,13,7,629,7,2,2,4,2,0,0,0,0,0.29,0.29,0.57,0.29,0.57,Matches
99,Kevin Diks,id IDN,DF,Gladbach,29-156,1996,22,21,"1,862",20.7,4,0,4,0,4,4,5,0,0.19,0,0.19,0,0,Matches
100,Danilho Doekhi,nl NED,DF,Union Berlin,27-254,1998,25,25,"2,250",25,4,0,4,4,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches
101,Joel Fujita,jp JPN,MF,St Pauli,24-023,2002,24,23,"2,033",22.6,1,3,4,1,0,0,4,0,0.04,0.13,0.18,0.04,0.18,Matches
102,Matthias Ginter,de GER,DF,Freiburg,32-051,1994,24,24,"2,160",24,2,2,4,2,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches
103,Michael Gregoritsch,at AUT,FW,Augsburg,31-327,1994,9,5,414,4.6,3,1,4,2,1,1,2,0,0.65,0.22,0.87,0.43,0.65,Matches
104,Marco Grüll,at AUT,"FW,MF",Werder Bremen,27-248,1998,25,19,"1,626",18.1,3,1,4,3,0,0,4,0,0.17,0.06,0.22,0.17,0.22,Matches
105,Jonas Hofmann,de GER,MF,Leverkusen,33-240,1992,20,11,960,10.7,2,2,4,2,0,0,3,0,0.19,0.19,0.37,0.19,0.37,Matches
106,Benedict Hollerbach,de GER,"FW,MF",Mainz 05,24-298,2001,14,13,872,9.7,1,3,4,1,0,0,0,0,0.1,0.31,0.41,0.1,0.41,Matches
